,Year,States,Sex,Count,topicdesc,measuredesc,response,data_value,age_group
16406,2014,Virginia,Female,1740,Cigarette Use (Adults),Smoking Status,Former,20.7,65+
16407,2014,Virginia,Female,36,Cigarette Use (Adults),Smoking Frequency,Some Days,25.6,25 to 44
16408,2014,Virginia,Female,749,Cigarette Use (Adults),Smoking Frequency,Some Days,25.6,45 to 64
16409,2014,Virginia,Female,1740,Cigarette Use (Adults),Smoking Frequency,Some Days,25.6,65+
16410,2018,Washington,Male,17,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.3,25 to 44
16411,2018,Washington,Male,548,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.3,45 to 64
16412,2018,Washington,Male,1562,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,41.3,65+
16413,2018,Washington,Male,17,Cigarette Use (Adults),Smoking Frequency,Some Days,33.6,25 to 44
16414,2018,Washington,Male,548,Cigarette Use (Adults),Smoking Frequency,Some Days,33.6,45 to 64
16415,2018,Washington,Male,1562,Cigarette Use (Adults),Smoking Frequency,Some Days,33.6,65+
16416,2018,Washington,Male,17,Cigarette Use (Adults),Smoking Status,Never,57.2,25 to 44
16417,2018,Washington,Male,548,Cigarette Use (Adults),Smoking Status,Never,57.2,45 to 64
16418,2018,Washington,Male,1562,Cigarette Use (Adults),Smoking Status,Never,57.2,65+
16419,2018,Washington,Male,17,Smokeless Tobacco Use (Adults),User Status,Current,5.3,25 to 44
16420,2018,Washington,Male,548,Smokeless Tobacco Use (Adults),User Status,Current,5.3,45 to 64
16421,2018,Washington,Male,1562,Smokeless Tobacco Use (Adults),User Status,Current,5.3,65+
16422,2018,Washington,Male,17,Smokeless Tobacco Use (Adults),User Status,Not Current,94.7,25 to 44
16423,2018,Washington,Male,548,Smokeless Tobacco Use (Adults),User Status,Not Current,94.7,45 to 64
16424,2018,Washington,Male,1562,Smokeless Tobacco Use (Adults),User Status,Not Current,94.7,65+
16425,2018,Washington,Male,17,Cigarette Use (Adults),Smoking Frequency,Every Day,66.4,25 to 44
16426,2018,Washington,Male,548,Cigarette Use (Adults),Smoking Frequency,Every Day,66.4,45 to 64
16427,2018,Washington,Male,1562,Cigarette Use (Adults),Smoking Frequency,Every Day,66.4,65+
16428,2018,Washington,Male,17,Cigarette Use (Adults),Smoking Status,Current,13.5,25 to 44
16429,2018,Washington,Male,548,Cigarette Use (Adults),Smoking Status,Current,13.5,45 to 64
16430,2018,Washington,Male,1562,Cigarette Use (Adults),Smoking Status,Current,13.5,65+
16431,2018,Washington,Male,17,Cigarette Use (Adults),Smoking Status,Former,29.3,25 to 44
16432,2018,Washington,Male,548,Cigarette Use (Adults),Smoking Status,Former,29.3,45 to 64
16433,2018,Washington,Male,1562,Cigarette Use (Adults),Smoking Status,Former,29.3,65+
16434,2018,Washington,Male,17,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.7,25 to 44
16435,2018,Washington,Male,548,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.7,45 to 64
16436,2018,Washington,Male,1562,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.7,65+
16437,2018,Washington,Female,26,Cigarette Use (Adults),Smoking Frequency,Every Day,72.2,25 to 44
16438,2018,Washington,Female,632,Cigarette Use (Adults),Smoking Frequency,Every Day,72.2,45 to 64
16439,2018,Washington,Female,1633,Cigarette Use (Adults),Smoking Frequency,Every Day,72.2,65+
16440,2018,Washington,Female,26,Cigarette Use (Adults),Smoking Status,Current,10.6,25 to 44
16441,2018,Washington,Female,632,Cigarette Use (Adults),Smoking Status,Current,10.6,45 to 64
16442,2018,Washington,Female,1633,Cigarette Use (Adults),Smoking Status,Current,10.6,65+
16443,2018,Washington,Female,26,Cigarette Use (Adults),Smoking Status,Never,66.6,25 to 44
16444,2018,Washington,Female,632,Cigarette Use (Adults),Smoking Status,Never,66.6,45 to 64
16445,2018,Washington,Female,1633,Cigarette Use (Adults),Smoking Status,Never,66.6,65+
16449,2018,Washington,Female,26,Cigarette Use (Adults),Smoking Status,Former,22.8,25 to 44
16450,2018,Washington,Female,632,Cigarette Use (Adults),Smoking Status,Former,22.8,45 to 64
16451,2018,Washington,Female,1633,Cigarette Use (Adults),Smoking Status,Former,22.8,65+
16452,2018,Washington,Female,26,Smokeless Tobacco Use (Adults),User Status,Current,0.6,25 to 44
16453,2018,Washington,Female,632,Smokeless Tobacco Use (Adults),User Status,Current,0.6,45 to 64
16454,2018,Washington,Female,1633,Smokeless Tobacco Use (Adults),User Status,Current,0.6,65+
16455,2018,Washington,Female,26,Cigarette Use (Adults),Smoking Frequency,Some Days,27.8,25 to 44
16456,2018,Washington,Female,632,Cigarette Use (Adults),Smoking Frequency,Some Days,27.8,45 to 64
16457,2018,Washington,Female,1633,Cigarette Use (Adults),Smoking Frequency,Some Days,27.8,65+
16458,2018,Washington,Female,26,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,25 to 44
16459,2018,Washington,Female,632,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,45 to 64
16460,2018,Washington,Female,1633,Smokeless Tobacco Use (Adults),User Status,Not Current,99.4,65+
16464,2017,Washington,Male,23,Cigarette Use (Adults),Smoking Status,Current,14.8,25 to 44
16465,2017,Washington,Male,579,Cigarette Use (Adults),Smoking Status,Current,14.8,45 to 64
16466,2017,Washington,Male,1514,Cigarette Use (Adults),Smoking Status,Current,14.8,65+
16467,2017,Washington,Male,23,Cigarette Use (Adults),Smoking Frequency,Some Days,34.2,25 to 44
16468,2017,Washington,Male,579,Cigarette Use (Adults),Smoking Frequency,Some Days,34.2,45 to 64
16469,2017,Washington,Male,1514,Cigarette Use (Adults),Smoking Frequency,Some Days,34.2,65+
16470,2017,Washington,Male,23,E-Cigarette Use (Adults),Frequency of Use,Some Days,52.0,25 to 44
16471,2017,Washington,Male,579,E-Cigarette Use (Adults),Frequency of Use,Some Days,52.0,45 to 64
16472,2017,Washington,Male,1514,E-Cigarette Use (Adults),Frequency of Use,Some Days,52.0,65+
16473,2017,Washington,Male,23,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,56.0,25 to 44
16474,2017,Washington,Male,579,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,56.0,45 to 64
16475,2017,Washington,Male,1514,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,56.0,65+
16476,2017,Washington,Male,23,E-Cigarette Use (Adults),User Status,Former,18.8,25 to 44
16477,2017,Washington,Male,579,E-Cigarette Use (Adults),User Status,Former,18.8,45 to 64
16478,2017,Washington,Male,1514,E-Cigarette Use (Adults),User Status,Former,18.8,65+
16479,2017,Washington,Male,23,Cigarette Use (Adults),Smoking Frequency,Every Day,65.8,25 to 44
16480,2017,Washington,Male,579,Cigarette Use (Adults),Smoking Frequency,Every Day,65.8,45 to 64
16481,2017,Washington,Male,1514,Cigarette Use (Adults),Smoking Frequency,Every Day,65.8,65+
16482,2017,Washington,Male,23,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,44.0,25 to 44
16483,2017,Washington,Male,579,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,44.0,45 to 64
16484,2017,Washington,Male,1514,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,44.0,65+
16485,2017,Washington,Male,23,Smokeless Tobacco Use (Adults),User Status,Not Current,94.1,25 to 44
16486,2017,Washington,Male,579,Smokeless Tobacco Use (Adults),User Status,Not Current,94.1,45 to 64
16487,2017,Washington,Male,1514,Smokeless Tobacco Use (Adults),User Status,Not Current,94.1,65+
16488,2017,Washington,Male,23,E-Cigarette Use (Adults),Frequency of Use,Every Day,48.0,25 to 44
16489,2017,Washington,Male,579,E-Cigarette Use (Adults),Frequency of Use,Every Day,48.0,45 to 64
16490,2017,Washington,Male,1514,E-Cigarette Use (Adults),Frequency of Use,Every Day,48.0,65+
16491,2017,Washington,Male,23,Cigarette Use (Adults),Smoking Status,Former,29.6,25 to 44
16492,2017,Washington,Male,579,Cigarette Use (Adults),Smoking Status,Former,29.6,45 to 64
16493,2017,Washington,Male,1514,Cigarette Use (Adults),Smoking Status,Former,29.6,65+
16494,2017,Washington,Male,23,Smokeless Tobacco Use (Adults),User Status,Current,5.9,25 to 44
16495,2017,Washington,Male,579,Smokeless Tobacco Use (Adults),User Status,Current,5.9,45 to 64
16496,2017,Washington,Male,1514,Smokeless Tobacco Use (Adults),User Status,Current,5.9,65+
16497,2017,Washington,Male,23,E-Cigarette Use (Adults),User Status,Never,76.4,25 to 44
16498,2017,Washington,Male,579,E-Cigarette Use (Adults),User Status,Never,76.4,45 to 64
16499,2017,Washington,Male,1514,E-Cigarette Use (Adults),User Status,Never,76.4,65+
16500,2017,Washington,Male,23,Cigarette Use (Adults),Smoking Status,Never,55.6,25 to 44
16501,2017,Washington,Male,579,Cigarette Use (Adults),Smoking Status,Never,55.6,45 to 64
16502,2017,Washington,Male,1514,Cigarette Use (Adults),Smoking Status,Never,55.6,65+
16503,2017,Washington,Male,23,E-Cigarette Use (Adults),User Status,Current,4.8,25 to 44
16504,2017,Washington,Male,579,E-Cigarette Use (Adults),User Status,Current,4.8,45 to 64
16505,2017,Washington,Male,1514,E-Cigarette Use (Adults),User Status,Current,4.8,65+
16506,2017,Washington,Female,23,E-Cigarette Use (Adults),User Status,Former,15.2,25 to 44
16507,2017,Washington,Female,610,E-Cigarette Use (Adults),User Status,Former,15.2,45 to 64
16508,2017,Washington,Female,1628,E-Cigarette Use (Adults),User Status,Former,15.2,65+
16509,2017,Washington,Female,23,Cigarette Use (Adults),Smoking Status,Never,63.0,25 to 44
16510,2017,Washington,Female,610,Cigarette Use (Adults),Smoking Status,Never,63.0,45 to 64
16511,2017,Washington,Female,1628,Cigarette Use (Adults),Smoking Status,Never,63.0,65+
16512,2017,Washington,Female,23,Cigarette Use (Adults),Smoking Status,Current,12.2,25 to 44
16513,2017,Washington,Female,610,Cigarette Use (Adults),Smoking Status,Current,12.2,45 to 64
16514,2017,Washington,Female,1628,Cigarette Use (Adults),Smoking Status,Current,12.2,65+
16515,2017,Washington,Female,23,Cigarette Use (Adults),Smoking Frequency,Every Day,68.4,25 to 44
16516,2017,Washington,Female,610,Cigarette Use (Adults),Smoking Frequency,Every Day,68.4,45 to 64
16517,2017,Washington,Female,1628,Cigarette Use (Adults),Smoking Frequency,Every Day,68.4,65+
16518,2017,Washington,Female,23,E-Cigarette Use (Adults),Frequency of Use,Some Days,63.2,25 to 44
16519,2017,Washington,Female,610,E-Cigarette Use (Adults),Frequency of Use,Some Days,63.2,45 to 64
16520,2017,Washington,Female,1628,E-Cigarette Use (Adults),Frequency of Use,Some Days,63.2,65+
16521,2017,Washington,Female,23,Smokeless Tobacco Use (Adults),User Status,Current,0.9,25 to 44
16522,2017,Washington,Female,610,Smokeless Tobacco Use (Adults),User Status,Current,0.9,45 to 64
16523,2017,Washington,Female,1628,Smokeless Tobacco Use (Adults),User Status,Current,0.9,65+
16524,2017,Washington,Female,23,E-Cigarette Use (Adults),User Status,Never,81.1,25 to 44
16525,2017,Washington,Female,610,E-Cigarette Use (Adults),User Status,Never,81.1,45 to 64
16526,2017,Washington,Female,1628,E-Cigarette Use (Adults),User Status,Never,81.1,65+
16527,2017,Washington,Female,23,E-Cigarette Use (Adults),User Status,Current,3.7,25 to 44
16528,2017,Washington,Female,610,E-Cigarette Use (Adults),User Status,Current,3.7,45 to 64
16529,2017,Washington,Female,1628,E-Cigarette Use (Adults),User Status,Current,3.7,65+
16530,2017,Washington,Female,23,Cigarette Use (Adults),Smoking Frequency,Some Days,31.6,25 to 44
16531,2017,Washington,Female,610,Cigarette Use (Adults),Smoking Frequency,Some Days,31.6,45 to 64
16532,2017,Washington,Female,1628,Cigarette Use (Adults),Smoking Frequency,Some Days,31.6,65+
16536,2017,Washington,Female,23,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,25 to 44
16537,2017,Washington,Female,610,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,45 to 64
16538,2017,Washington,Female,1628,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,65+
16539,2017,Washington,Female,23,Cigarette Use (Adults),Smoking Status,Former,24.8,25 to 44
16540,2017,Washington,Female,610,Cigarette Use (Adults),Smoking Status,Former,24.8,45 to 64
16541,2017,Washington,Female,1628,Cigarette Use (Adults),Smoking Status,Former,24.8,65+
16545,2017,Washington,Female,23,E-Cigarette Use (Adults),Frequency of Use,Every Day,36.8,25 to 44
16546,2017,Washington,Female,610,E-Cigarette Use (Adults),Frequency of Use,Every Day,36.8,45 to 64
16547,2017,Washington,Female,1628,E-Cigarette Use (Adults),Frequency of Use,Every Day,36.8,65+
16548,2016,Washington,Female,36,Cigarette Use (Adults),Smoking Frequency,Some Days,31.5,25 to 44
16549,2016,Washington,Female,647,Cigarette Use (Adults),Smoking Frequency,Some Days,31.5,45 to 64
16550,2016,Washington,Female,1595,Cigarette Use (Adults),Smoking Frequency,Some Days,31.5,65+
16551,2016,Washington,Female,36,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,25 to 44
16552,2016,Washington,Female,647,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,45 to 64
16553,2016,Washington,Female,1595,Smokeless Tobacco Use (Adults),User Status,Not Current,99.3,65+
16557,2016,Washington,Female,36,E-Cigarette Use (Adults),User Status,Current,3.9,25 to 44
16558,2016,Washington,Female,647,E-Cigarette Use (Adults),User Status,Current,3.9,45 to 64
16559,2016,Washington,Female,1595,E-Cigarette Use (Adults),User Status,Current,3.9,65+
16560,2016,Washington,Female,36,Cigarette Use (Adults),Smoking Status,Former,23.4,25 to 44
16561,2016,Washington,Female,647,Cigarette Use (Adults),Smoking Status,Former,23.4,45 to 64
16562,2016,Washington,Female,1595,Cigarette Use (Adults),Smoking Status,Former,23.4,65+
16563,2016,Washington,Female,36,Cigarette Use (Adults),Smoking Status,Never,64.6,25 to 44
16564,2016,Washington,Female,647,Cigarette Use (Adults),Smoking Status,Never,64.6,45 to 64
16565,2016,Washington,Female,1595,Cigarette Use (Adults),Smoking Status,Never,64.6,65+
16566,2016,Washington,Female,36,E-Cigarette Use (Adults),User Status,Former,14.7,25 to 44
16567,2016,Washington,Female,647,E-Cigarette Use (Adults),User Status,Former,14.7,45 to 64
16568,2016,Washington,Female,1595,E-Cigarette Use (Adults),User Status,Former,14.7,65+
16569,2016,Washington,Female,36,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,25 to 44
16570,2016,Washington,Female,647,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,45 to 64
16571,2016,Washington,Female,1595,E-Cigarette Use (Adults),Frequency of Use,Every Day,30.4,65+
16572,2016,Washington,Female,36,Cigarette Use (Adults),Smoking Status,Current,11.9,25 to 44
16573,2016,Washington,Female,647,Cigarette Use (Adults),Smoking Status,Current,11.9,45 to 64
16574,2016,Washington,Female,1595,Cigarette Use (Adults),Smoking Status,Current,11.9,65+
16575,2016,Washington,Female,36,E-Cigarette Use (Adults),User Status,Never,81.4,25 to 44
16576,2016,Washington,Female,647,E-Cigarette Use (Adults),User Status,Never,81.4,45 to 64
16577,2016,Washington,Female,1595,E-Cigarette Use (Adults),User Status,Never,81.4,65+
16578,2016,Washington,Female,36,Smokeless Tobacco Use (Adults),User Status,Current,0.7,25 to 44
16579,2016,Washington,Female,647,Smokeless Tobacco Use (Adults),User Status,Current,0.7,45 to 64
16580,2016,Washington,Female,1595,Smokeless Tobacco Use (Adults),User Status,Current,0.7,65+
16584,2016,Washington,Female,36,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,25 to 44
16585,2016,Washington,Female,647,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,45 to 64
16586,2016,Washington,Female,1595,E-Cigarette Use (Adults),Frequency of Use,Some Days,69.6,65+
16587,2016,Washington,Female,36,Cigarette Use (Adults),Smoking Frequency,Every Day,68.5,25 to 44
16588,2016,Washington,Female,647,Cigarette Use (Adults),Smoking Frequency,Every Day,68.5,45 to 64
16589,2016,Washington,Female,1595,Cigarette Use (Adults),Smoking Frequency,Every Day,68.5,65+
16590,2016,Washington,Male,18,E-Cigarette Use (Adults),User Status,Never,73.6,25 to 44
16591,2016,Washington,Male,606,E-Cigarette Use (Adults),User Status,Never,73.6,45 to 64
16592,2016,Washington,Male,1617,E-Cigarette Use (Adults),User Status,Never,73.6,65+
16593,2016,Washington,Male,18,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.0,25 to 44
16594,2016,Washington,Male,606,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.0,45 to 64
16595,2016,Washington,Male,1617,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,58.0,65+
16596,2016,Washington,Male,18,Smokeless Tobacco Use (Adults),User Status,Current,6.3,25 to 44
16597,2016,Washington,Male,606,Smokeless Tobacco Use (Adults),User Status,Current,6.3,45 to 64
16598,2016,Washington,Male,1617,Smokeless Tobacco Use (Adults),User Status,Current,6.3,65+
16599,2016,Washington,Male,18,Cigarette Use (Adults),Smoking Frequency,Some Days,36.1,25 to 44
16600,2016,Washington,Male,606,Cigarette Use (Adults),Smoking Frequency,Some Days,36.1,45 to 64
16601,2016,Washington,Male,1617,Cigarette Use (Adults),Smoking Frequency,Some Days,36.1,65+
16602,2016,Washington,Male,18,E-Cigarette Use (Adults),User Status,Former,19.8,25 to 44
16603,2016,Washington,Male,606,E-Cigarette Use (Adults),User Status,Former,19.8,45 to 64
16604,2016,Washington,Male,1617,E-Cigarette Use (Adults),User Status,Former,19.8,65+
16605,2016,Washington,Male,18,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,42.0,25 to 44
16606,2016,Washington,Male,606,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,42.0,45 to 64
16607,2016,Washington,Male,1617,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,42.0,65+
16608,2016,Washington,Male,18,E-Cigarette Use (Adults),Frequency of Use,Some Days,62.0,25 to 44
16609,2016,Washington,Male,606,E-Cigarette Use (Adults),Frequency of Use,Some Days,62.0,45 to 64
16610,2016,Washington,Male,1617,E-Cigarette Use (Adults),Frequency of Use,Some Days,62.0,65+
16611,2016,Washington,Male,18,Smokeless Tobacco Use (Adults),User Status,Not Current,93.7,25 to 44
16612,2016,Washington,Male,606,Smokeless Tobacco Use (Adults),User Status,Not Current,93.7,45 to 64
16613,2016,Washington,Male,1617,Smokeless Tobacco Use (Adults),User Status,Not Current,93.7,65+
16614,2016,Washington,Male,18,Cigarette Use (Adults),Smoking Status,Former,30.0,25 to 44
16615,2016,Washington,Male,606,Cigarette Use (Adults),Smoking Status,Former,30.0,45 to 64
16616,2016,Washington,Male,1617,Cigarette Use (Adults),Smoking Status,Former,30.0,65+
16617,2016,Washington,Male,18,Cigarette Use (Adults),Smoking Status,Never,54.0,25 to 44
16618,2016,Washington,Male,606,Cigarette Use (Adults),Smoking Status,Never,54.0,45 to 64
16619,2016,Washington,Male,1617,Cigarette Use (Adults),Smoking Status,Never,54.0,65+
16620,2016,Washington,Male,18,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.0,25 to 44
16621,2016,Washington,Male,606,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.0,45 to 64
16622,2016,Washington,Male,1617,E-Cigarette Use (Adults),Frequency of Use,Every Day,38.0,65+
16623,2016,Washington,Male,18,Cigarette Use (Adults),Smoking Frequency,Every Day,63.9,25 to 44
16624,2016,Washington,Male,606,Cigarette Use (Adults),Smoking Frequency,Every Day,63.9,45 to 64
16625,2016,Washington,Male,1617,Cigarette Use (Adults),Smoking Frequency,Every Day,63.9,65+
16626,2016,Washington,Male,18,E-Cigarette Use (Adults),User Status,Current,6.7,25 to 44
16627,2016,Washington,Male,606,E-Cigarette Use (Adults),User Status,Current,6.7,45 to 64
16628,2016,Washington,Male,1617,E-Cigarette Use (Adults),User Status,Current,6.7,65+
16629,2016,Washington,Male,18,Cigarette Use (Adults),Smoking Status,Current,16.0,25 to 44
16630,2016,Washington,Male,606,Cigarette Use (Adults),Smoking Status,Current,16.0,45 to 64
16631,2016,Washington,Male,1617,Cigarette Use (Adults),Smoking Status,Current,16.0,65+
16632,2015,Washington,Male,22,Cigarette Use (Adults),Smoking Frequency,Some Days,35.7,25 to 44
16633,2015,Washington,Male,677,Cigarette Use (Adults),Smoking Frequency,Some Days,35.7,45 to 64
16634,2015,Washington,Male,1534,Cigarette Use (Adults),Smoking Frequency,Some Days,35.7,65+
16635,2015,Washington,Male,22,Cigarette Use (Adults),Smoking Status,Former,29.5,25 to 44
16636,2015,Washington,Male,677,Cigarette Use (Adults),Smoking Status,Former,29.5,45 to 64
16637,2015,Washington,Male,1534,Cigarette Use (Adults),Smoking Status,Former,29.5,65+
16638,2015,Washington,Male,22,Smokeless Tobacco Use (Adults),User Status,Not Current,94.1,25 to 44
16639,2015,Washington,Male,677,Smokeless Tobacco Use (Adults),User Status,Not Current,94.1,45 to 64
16640,2015,Washington,Male,1534,Smokeless Tobacco Use (Adults),User Status,Not Current,94.1,65+
16641,2015,Washington,Male,22,Smokeless Tobacco Use (Adults),User Status,Current,5.9,25 to 44
16642,2015,Washington,Male,677,Smokeless Tobacco Use (Adults),User Status,Current,5.9,45 to 64
16643,2015,Washington,Male,1534,Smokeless Tobacco Use (Adults),User Status,Current,5.9,65+
16644,2015,Washington,Male,22,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.2,25 to 44
16645,2015,Washington,Male,677,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.2,45 to 64
16646,2015,Washington,Male,1534,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,50.2,65+
16647,2015,Washington,Male,22,Cigarette Use (Adults),Smoking Status,Current,16.6,25 to 44
16648,2015,Washington,Male,677,Cigarette Use (Adults),Smoking Status,Current,16.6,45 to 64
16649,2015,Washington,Male,1534,Cigarette Use (Adults),Smoking Status,Current,16.6,65+
16650,2015,Washington,Male,22,Cigarette Use (Adults),Smoking Status,Never,53.9,25 to 44
16651,2015,Washington,Male,677,Cigarette Use (Adults),Smoking Status,Never,53.9,45 to 64
16652,2015,Washington,Male,1534,Cigarette Use (Adults),Smoking Status,Never,53.9,65+
16653,2015,Washington,Male,22,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.8,25 to 44
16654,2015,Washington,Male,677,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.8,45 to 64
16655,2015,Washington,Male,1534,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,49.8,65+
16656,2015,Washington,Male,22,Cigarette Use (Adults),Smoking Frequency,Every Day,64.3,25 to 44
16657,2015,Washington,Male,677,Cigarette Use (Adults),Smoking Frequency,Every Day,64.3,45 to 64
16658,2015,Washington,Male,1534,Cigarette Use (Adults),Smoking Frequency,Every Day,64.3,65+
16659,2015,Washington,Female,20,Cigarette Use (Adults),Smoking Status,Current,13.4,25 to 44
16660,2015,Washington,Female,554,Cigarette Use (Adults),Smoking Status,Current,13.4,45 to 64
16661,2015,Washington,Female,1581,Cigarette Use (Adults),Smoking Status,Current,13.4,65+
16662,2015,Washington,Female,20,Smokeless Tobacco Use (Adults),User Status,Current,0.9,25 to 44
16663,2015,Washington,Female,554,Smokeless Tobacco Use (Adults),User Status,Current,0.9,45 to 64
16664,2015,Washington,Female,1581,Smokeless Tobacco Use (Adults),User Status,Current,0.9,65+
16665,2015,Washington,Female,20,Cigarette Use (Adults),Smoking Status,Former,23.2,25 to 44
16666,2015,Washington,Female,554,Cigarette Use (Adults),Smoking Status,Former,23.2,45 to 64
16667,2015,Washington,Female,1581,Cigarette Use (Adults),Smoking Status,Former,23.2,65+
16668,2015,Washington,Female,20,Cigarette Use (Adults),Smoking Frequency,Some Days,30.6,25 to 44
16669,2015,Washington,Female,554,Cigarette Use (Adults),Smoking Frequency,Some Days,30.6,45 to 64
16670,2015,Washington,Female,1581,Cigarette Use (Adults),Smoking Frequency,Some Days,30.6,65+
16671,2015,Washington,Female,20,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,21.9,25 to 44
16672,2015,Washington,Female,554,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,21.9,45 to 64
16673,2015,Washington,Female,1581,Smokeless Tobacco Use (Adults),Frequency of Use,Every Day,21.9,65+
16674,2015,Washington,Female,20,Cigarette Use (Adults),Smoking Frequency,Every Day,69.4,25 to 44
16675,2015,Washington,Female,554,Cigarette Use (Adults),Smoking Frequency,Every Day,69.4,45 to 64
16676,2015,Washington,Female,1581,Cigarette Use (Adults),Smoking Frequency,Every Day,69.4,65+
16677,2015,Washington,Female,20,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,25 to 44
16678,2015,Washington,Female,554,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,45 to 64
16679,2015,Washington,Female,1581,Smokeless Tobacco Use (Adults),User Status,Not Current,99.1,65+
16680,2015,Washington,Female,20,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,78.1,25 to 44
16681,2015,Washington,Female,554,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,78.1,45 to 64
16682,2015,Washington,Female,1581,Smokeless Tobacco Use (Adults),Frequency of Use,Some Days,78.1,65+
16683,2015,Washington,Female,20,Cigarette Use (Adults),Smoking Status,Never,63.4,25 to 44
16684,2015,Washington,Female,554,Cigarette Use (Adults),Smoking Status,Never,63.4,45 to 64
16685,2015,Washington,Female,1581,Cigarette Use (Adults),Smoking Status,Never,63.4,65+
16686,2014,Washington,Female,25,Cigarette Use (Adults),Smoking Status,Never,62.3,25 to 44
16687,2014,Washington,Female,615,Cigarette Use (Adults),Smoking Status,Never,62.3,45 to 64
16688,2014,Washington,Female,1556,Cigarette Use (Adults),Smoking Status,Never,62.3,65+
16689,2014,Washington,Female,25,Smokeless Tobacco Use (Adults),User Status,Not Current,99.2,25 to 44
16690,2014,Washington,Female,615,Smokeless Tobacco Use (Adults),User Status,Not Current,99.2,45 to 64
16691,2014,Washington,Female,1556,Smokeless Tobacco Use (Adults),User Status,Not Current,99.2,65+
16692,2014,Washington,Female,25,Cigarette Use (Adults),Smoking Frequency,Every Day,71.2,25 to 44
16693,2014,Washington,Female,615,Cigarette Use (Adults),Smoking Frequency,Every Day,71.2,45 to 64
16694,2014,Washington,Female,1556,Cigarette Use (Adults),Smoking Frequency,Every Day,71.2,65+
16695,2014,Washington,Female,25,Cigarette Use (Adults),Smoking Frequency,Some Days,28.8,25 to 44
16696,2014,Washington,Female,615,Cigarette Use (Adults),Smoking Frequency,Some Days,28.8,45 to 64
16697,2014,Washington,Female,1556,Cigarette Use (Adults),Smoking Frequency,Some Days,28.8,65+
16704,2014,Washington,Female,25,Cigarette Use (Adults),Smoking Status,Former,23.9,25 to 44
16705,2014,Washington,Female,615,Cigarette Use (Adults),Smoking Status,Former,23.9,45 to 64
16706,2014,Washington,Female,1556,Cigarette Use (Adults),Smoking Status,Former,23.9,65+
16707,2014,Washington,Female,25,Smokeless Tobacco Use (Adults),User Status,Current,0.8,25 to 44
16708,2014,Washington,Female,615,Smokeless Tobacco Use (Adults),User Status,Current,0.8,45 to 64
16709,2014,Washington,Female,1556,Smokeless Tobacco Use (Adults),User Status,Current,0.8,65+
16710,2014,Washington,Female,25,Cigarette Use (Adults),Smoking Status,Current,13.8,25 to 44
16711,2014,Washington,Female,615,Cigarette Use (Adults),Smoking Status,Current,13.8,45 to 64
16712,2014,Washington,Female,1556,Cigarette Use (Adults),Smoking Status,Current,13.8,65+
16713,2014,Washington,Male,20,Cigarette Use (Adults),Smoking Status,Current,16.9,25 to 44
16714,2014,Washington,Male,586,Cigarette Use (Adults),Smoking Status,Current,16.9,45 to 64
